2026-02-27 14:40:25 | INFO     | bot.client | BinanceClient initialised (testnet: https://testnet.binancefuture.com)
2026-02-27 14:40:25 | DEBUG    | bot.validators | Validated symbol: BTCUSDT
2026-02-27 14:40:25 | DEBUG    | bot.client | → GET https://testnet.binancefuture.com/fapi/v1/ticker/price  params={'symbol': 'BTCUSDT'}
2026-02-27 14:40:26 | DEBUG    | bot.client | ← HTTP 200  body={"symbol":"BTCUSDT","price":"67988.10","time":1772183422917}
2026-02-27 14:40:39 | DEBUG    | bot.validators | Validated symbol: BTCUSDT
2026-02-27 14:40:39 | INFO     | bot.client | BinanceClient initialised (testnet: https://testnet.binancefuture.com)
2026-02-27 14:40:39 | INFO     | bot.orders | Placing BUY MARKET order: 0.01 BTCUSDT @ MARKET (stop=N/A)
2026-02-27 14:40:39 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1772183439445, 'signature': 'd9695baa99beb12f7280a80797dde451d65bff87cbc9d9ed09f8fd8949b94234'}
2026-02-27 14:40:40 | DEBUG    | bot.client | ← HTTP 401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-02-27 14:40:40 | ERROR    | __main__ | API error: [HTTP 401] Binance error -2015: Invalid API-key, IP, or permissions for action
2026-02-27 14:52:34 | DEBUG    | bot.validators | Validated symbol: BTCUSDT
2026-02-27 14:52:34 | INFO     | bot.client | BinanceClient initialised (testnet: https://testnet.binancefuture.com)
2026-02-27 14:52:34 | INFO     | bot.orders | Placing BUY MARKET order: 0.01 BTCUSDT @ MARKET (stop=N/A)
2026-02-27 14:52:34 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'recvWindow': 5000, 'timestamp': 1772184154175, 'signature': 'ede4fe9b94a725b220192294b2dec374bcca3dd42697e770c985127333d9c632'}
2026-02-27 14:52:34 | DEBUG    | bot.client | ← HTTP 200  body={"orderId":12554554445,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"kcjS01rZ8iaIVn6MPz7Tcx","price":"0.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTim
2026-02-27 14:52:34 | INFO     | bot.orders | Order response – orderId=12554554445 status=NEW executedQty=0.000 avgPrice=0.00
2026-02-27 14:52:48 | INFO     | bot.client | BinanceClient initialised (testnet: https://testnet.binancefuture.com)
2026-02-27 14:52:48 | DEBUG    | bot.validators | Validated symbol: BTCUSDT
2026-02-27 14:52:48 | DEBUG    | bot.client | → GET https://testnet.binancefuture.com/fapi/v1/ticker/price  params={'symbol': 'BTCUSDT'}
2026-02-27 14:52:49 | DEBUG    | bot.client | ← HTTP 200  body={"symbol":"BTCUSDT","price":"67927.30","time":1772184167454}
2026-02-27 14:53:00 | DEBUG    | bot.validators | Validated symbol: BTCUSDT
2026-02-27 14:53:00 | INFO     | bot.client | BinanceClient initialised (testnet: https://testnet.binancefuture.com)
2026-02-27 14:53:00 | INFO     | bot.orders | Placing SELL LIMIT order: 0.01 BTCUSDT @ 75000.0 (stop=N/A)
2026-02-27 14:53:00 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.01', 'price': '75000.0', 'timeInForce': 'GTC', 'recvWindow': 5000, 'timestamp': 1772184180465, 'signature': 'f5d20f29a8dbe20c45bf72d955be65b31ea983de63e38810872600c16f86f353'}
2026-02-27 14:53:01 | DEBUG    | bot.client | ← HTTP 200  body={"orderId":12554555255,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"KZDpce4lP0UzS69cnXQpHB","price":"75000.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"update
2026-02-27 14:53:01 | INFO     | bot.orders | Order response – orderId=12554555255 status=NEW executedQty=0.000 avgPrice=0.00
